,ecg,eda,acc
488,1.0,377.0,61.0
489,0.0,0.0,60.0
490,0.0,0.0,61.0
491,0.0,0.0,61.0
492,0.0,0.0,64.0
493,0.0,0.0,66.0
494,0.0,0.0,67.0
495,0.0,0.0,67.0
496,0.0,0.0,67.0
497,0.0,0.0,67.0
498,0.0,0.0,66.0
499,0.0,0.0,67.0
500,0.0,0.0,67.0
501,0.0,0.0,67.0
502,0.0,23.0,67.0
503,0.0,111.0,67.0
504,0.0,164.0,67.0
505,0.0,251.0,67.0
506,0.0,290.0,67.0
507,0.0,359.0,67.0
508,0.0,391.0,67.0
509,0.0,446.0,68.0
510,0.0,473.0,68.0
511,0.0,530.0,68.0
512,0.0,539.0,68.0
513,0.0,595.0,67.0
514,0.0,592.0,68.0
515,0.0,1018.0,68.0
516,0.0,1018.0,68.0
517,0.0,642.0,68.0
518,0.0,191.0,67.0
519,0.0,1016.0,68.0
520,0.0,310.0,68.0
521,0.0,1018.0,69.0
522,0.0,433.0,68.0
523,0.0,1018.0,68.0
524,0.0,896.0,68.0
525,0.0,1018.0,68.0
526,0.0,1018.0,68.0
527,0.0,1018.0,68.0
528,0.0,371.0,67.0
529,0.0,0.0,67.0
530,0.0,0.0,68.0
531,0.0,0.0,67.0
532,0.0,0.0,67.0
533,0.0,0.0,67.0
534,0.0,0.0,66.0
535,0.0,0.0,68.0
536,0.0,0.0,68.0
537,0.0,60.0,67.0
538,0.0,0.0,64.0
539,0.0,180.0,67.0
540,0.0,64.0,67.0
541,0.0,390.0,67.0
542,0.0,173.0,67.0
543,0.0,1018.0,67.0
544,0.0,387.0,67.0
545,0.0,1018.0,67.0
546,0.0,1018.0,68.0
547,0.0,1018.0,67.0
548,0.0,207.0,67.0
549,0.0,622.0,67.0
550,0.0,0.0,67.0
551,0.0,0.0,67.0
552,0.0,0.0,67.0
553,0.0,0.0,67.0
554,0.0,0.0,67.0
555,0.0,98.0,67.0
556,0.0,46.0,67.0
557,0.0,241.0,67.0
558,0.0,150.0,67.0
559,0.0,475.0,67.0
560,0.0,255.0,67.0
561,0.0,1018.0,67.0
562,0.0,1018.0,67.0
563,0.0,1018.0,68.0
564,0.0,156.0,67.0
565,0.0,1018.0,67.0
566,0.0,96.0,67.0
567,0.0,0.0,66.0
568,0.0,0.0,67.0
569,0.0,102.0,68.0
570,0.0,69.0,68.0
571,0.0,226.0,67.0
572,0.0,163.0,67.0
573,0.0,436.0,67.0
574,0.0,256.0,67.0
575,0.0,1018.0,67.0
576,0.0,944.0,68.0
577,0.0,275.0,68.0
578,0.0,119.0,68.0
579,0.0,155.0,67.0
580,0.0,174.0,67.0
581,0.0,1018.0,67.0
582,0.0,1018.0,67.0
583,0.0,0.0,67.0
584,0.0,0.0,69.0
585,0.0,98.0,70.0
586,0.0,45.0,69.0
587,0.0,157.0,67.0
588,0.0,138.0,67.0
589,0.0,216.0,67.0
590,0.0,284.0,67.0
591,0.0,1003.0,70.0
592,0.0,385.0,69.0
593,0.0,409.0,69.0
594,0.0,285.0,69.0
595,0.0,320.0,68.0
596,0.0,333.0,67.0
597,0.0,381.0,67.0
598,0.0,384.0,67.0
599,0.0,1018.0,68.0
